alexa_lang,alexa_links_ins,alexa_load_time,alexa_rank,alexa_rank_dk,cms,external_links_count,facebook_share,has_description,has_keywords,html5,html5_tags,img_count,internal_links_count,title_tag,twitter_share,url,xhtml
0,,,7,4,,3,0,0,0,0,0,4,0,1,0,http://www.fusionsport.dk,0
1,4,2,7,,,2,1,0,1,1,0,1,0,1,0,http://www.cmsimple.dk,0
0,4,2,7,3,,3,0,0,1,0,0,3,0,1,0,http://www.naturstyrelsen.dk,0
,4,3,7,4,TYPO3,1,0,0,0,0,0,0,0,1,0,http://www.goldenplanet.dk,0
0,,,7,,,2,0,0,0,1,0,4,1,1,1,http://www.tedxcopenhagen.dk,0
,5,1,7,4,,0,0,0,0,0,0,0,0,1,0,http://www.diba.dk,0
0,4,2,6,3,,3,0,0,1,0,0,3,0,1,0,http://www.just-half-price.dk,0
0,4,2,4,3,,0,0,0,1,1,1,0,0,1,0,http://www.moviestarplanet.dk,0
0,,,7,4,,1,0,0,0,1,1,2,1,1,0,http://www.babyalarm-test.dk,0
0,6,0,5,2,,1,0,0,0,0,0,2,0,1,0,http://www.travian.dk,0
,6,0,6,3,,0,0,0,0,0,0,0,0,1,0,http://www.danlon.dk,0
0,,,7,4,TYPO3,3,0,0,1,0,0,0,0,1,0,http://www.dentalklinikken.dk,0
0,3,5,5,3,,1,1,0,0,0,0,2,3,1,0,http://www.miinto.dk,0
,4,3,6,4,,3,0,0,0,0,0,4,1,1,0,http://www.gyldendal.dk,0
,3,5,6,3,DRUPAL,3,0,0,0,1,1,4,0,1,0,http://www.folketidende.dk,0
,5,1,5,3,,3,0,0,0,0,0,4,1,1,0,http://www.comon.dk,0
,4,3,5,3,,2,0,0,1,0,0,2,3,1,0,http://www.stepstone.dk,0
,4,3,7,4,,2,0,0,0,0,0,4,0,1,0,http://www.rd.dk,0
0,4,3,6,3,,2,0,0,1,1,2,1,3,1,0,http://www.techmind.dk,0
0,,,7,4,,1,0,0,0,1,1,0,0,1,0,http://www.cmore.dk,0
1,4,2,5,3,,2,0,0,1,0,0,3,2,1,0,http://www.sas.dk,0
,4,4,6,3,,0,0,0,0,0,0,0,0,1,0,http://www.mobilsiden.dk,0
0,4,2,4,2,,3,0,0,1,1,1,1,1,1,0,http://www.momondo.dk,0
